Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
131.,SONP/SN/550534/2022,Towarzystwo Wolnej Wszechnicy Polskiej oddział w Lublinie,Psychologia z elementami gerontologii-  popularyzacja wiedzy psychologicznej wśród seniorów,24800,2022-09-26,SON I konkurs III,Popularyzacja
132.,SONP/SN/551098/2022,Uczelnia Collegium Intermarium,Przywracamy tradycje strzeleckie,200000,2022-09-26,SON I konkurs III,Popularyzacja
133.,SONP/SN/551211/2022,Uczelnia Collegium Intermarium,"Festiwal nauki klasycznej : Akademia, Likejon, Uniwersytet",300000,2022-09-26,SON I konkurs III,Popularyzacja
134.,SONP/SN/550145/2022,Uczelnia Techniczno-Handlowa im. H. Chodkowskiej,Warszawski Festiwal Nauk Inżynieryjnych z UTH,83054.4,2022-09-26,SON I konkurs III,Popularyzacja
135.,SONP/SN/550255/2022,Uczelnia Techniczno-Handlowa im. H. Chodkowskiej,Bezpiecznie jest wiedzieć z UTH,95000,2022-09-26,SON I konkurs III,Popularyzacja
136.,SONP/SP/549723/2022,Uniwersytet Ekonomiczny w Krakowie,Czy można nas oszukać?Zmysły na straży oceny jakości produktów–rola nauki w ocenie jakości produktów,104500,2022-09-26,SON I konkurs III,Popularyzacja
137.,SONP/SP/550828/2022,Uniwersytet Ekonomiczny w Krakowie,UEK w formie - zostań sportowcem - naukowcem 2!,183044.4,2022-09-26,SON I konkurs III,Popularyzacja
138.,SONP/SP/550872/2022,Uniwersytet Ekonomiczny w Poznaniu,Ekonomiczna Piątka 2023-2024,30000,2022-09-26,SON I konkurs III,Popularyzacja
139.,SONP/SP/550468/2022,Uniwersytet Gdański,"Nauka? Taką - to ja lubię! - popularyzacja matematyki, fizyki i informatyki",133710,2022-09-26,SON I konkurs III,Popularyzacja
140.,SONP/SP/546911/2022,Uniwersytet Humanistyczno- Przyrodniczy im. Jana Długosza w Częstochowie,Uniwersytet dla polskich i ukraińskich rodzin z dziećmi w środowisku lokalnym,20900,2022-09-26,SON I konkurs III,Popularyzacja
141.,SONP/SP/548515/2022,Uniwersytet Humanistyczno- Przyrodniczy im. Jana Długosza w Częstochowie,Uniwersyte Otwarty- Zdrowym żyć i aktywnym być.,153115,2022-09-26,SON I konkurs III,Popularyzacja
142.,SONP/SP/549635/2022,Uniwersytet Humanistyczno- Przyrodniczy im. Jana Długosza w Częstochowie,I Międzyszkolny  Konkurs Wiedzy z Anatomii i Fizjologii Człowieka „Medicus”.,20000,2022-09-26,SON I konkurs III,Popularyzacja
143.,SONP/SP/546411/2022,Uniwersytet im. Adama Mickiewicza w Poznaniu,Archeologia (do)Poznania. Spojrzenie na zaginione życie miasta od X do początków XX w.,89925,2022-09-26,SON I konkurs III,Popularyzacja
144.,SONP/SP/546432/2022,Uniwersytet im. Adama Mickiewicza w Poznaniu,Różne oblicza geografii,112920,2022-09-26,SON I konkurs III,Popularyzacja
145.,SONP/SP/546597/2022,Uniwersytet im. Adama Mickiewicza w Poznaniu,Poznański Festiwal Nauki i Sztuki,553801,2022-09-26,SON I konkurs III,Popularyzacja
146.,SONP/SP/546703/2022,Uniwersytet im. Adama Mickiewicza w Poznaniu,"EPiC - Edukacja, Popularyzacja i Chemia",422312,2022-09-26,SON I konkurs III,Popularyzacja
147.,SONP/SP/546759/2022,Uniwersytet Jagielloński,Historyczny kalejdoskop,283838.5,2022-09-26,SON I konkurs III,Popularyzacja
148.,SONP/SP/549279/2022,Uniwersytet Jagielloński,Wideoblog popularyzujący chemię,364188,2022-09-26,SON I konkurs III,Popularyzacja
149.,SONP/SP/549972/2022,Uniwersytet Jagielloński,"Promowanie świadomych decyzji zdrowotnych opartych o dane naukowe Cochrane - Cochrane ""po ludzku""",158760,2022-09-26,SON I konkurs III,Popularyzacja
150.,SONP/SP/549601/2022,Uniwersytet Jana Kochanowskiego w Kielcach,Świętokrzyski Festiwal Najmłodszej Nauki,165665,2022-09-26,SON I konkurs III,Popularyzacja
151.,SONP/SP/548525/2022,Uniwersytet Kazimierza Wielkiego,Letnia Akademia Młodego Naukowca - kolonie i półkolonie na UKW,104028,2022-09-26,SON I konkurs III,Popularyzacja
152.,SONP/SP/550848/2022,Uniwersytet Kazimierza Wielkiego,Bydgoskie Impresje Matematyczne,100670,2022-09-26,SON I konkurs III,Popularyzacja
153.,SONP/SP/548426/2022,Uniwersytet Łódzki,Uwolnij Energię 2!,80225,2022-09-26,SON I konkurs III,Popularyzacja
154.,SONP/SP/548436/2022,Uniwersytet Łódzki,"""Co w prawie piszczy?""",135872,2022-09-26,SON I konkurs III,Popularyzacja
155.,SONP/SP/548749/2022,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,Ucz się z MaFiI-ą 3,294866,2022-09-26,SON I konkurs III,Popularyzacja
156.,SONP/SP/549315/2022,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,Objazdowy Festiwal Nauki,81650,2022-09-26,SON I konkurs III,Popularyzacja
157.,SONP/SP/549619/2022,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,Eksploracja inspirowana technologią druku 3D,400000,2022-09-26,SON I konkurs III,Popularyzacja
158.,SONP/SP/549629/2022,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,Złoto Lubelszczyzny - Lubelski Bursztyn,120582,2022-09-26,SON I konkurs III,Popularyzacja
159.,SONP/SP/548088/2022,Uniwersytet Medyczny w Białymstoku,Akademicki Turniej Sportowy UMB,28000,2022-09-26,SON I konkurs III,Popularyzacja
160.,SONP/SP/548089/2022,Uniwersytet Medyczny w Białymstoku,Biologia i Chemia po akademicku 2,33100,2022-09-26,SON I konkurs III,Popularyzacja
161.,SONP/SP/547957/2022,Uniwersytet Medyczny w Łodzi,UMEDowe ONKOprzypowieści,267300.81,2022-09-26,SON I konkurs III,Popularyzacja
162.,SONP/SP/550382/2022,Uniwersytet Medyczny w Łodzi,#zrozumnauke - portal informacyjny o naukach medycznych i naukach o zdrowiu.,150000,2022-09-26,SON I konkurs III,Popularyzacja
