Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
123,SONP/SP/515222/2021,Sieć Badawcza Łukasiewicz - Instytut Technik Innowacyjnych EMAG,Laboratorium Doświadczeń Sensorycznych,300000,2021-12-31,SON I konkurs II,Popularyzacja
124,SONP/SP/514380/2021,Sieć Badawcza ŁUKASIEWICZ - PORT Polski Ośrodek Rozwoju Technologii,Wejście do świata nauki. ŁUKASIEWICZ – PORT,319454,2021-12-31,SON I konkurs II,Popularyzacja
125,SONP/SN/516279/2021,"Stowarzyszenie ""Pracownia Etnograficzna"" im. Witolda Dynowskiego",Podróże z antropologią,109153,2021-12-31,SON I konkurs II,Popularyzacja
126,SONP/SN/514158/2021,"Stowarzyszenie ""Telewizja Regionalna-Stowarzyszenie Europejskie""",Budowniczowie Świata - historia polskiej myśli naukowotechnicznej,365000,2021-12-31,SON I konkurs II,Popularyzacja
127,SONP/SN/512254/2021,Stowarzyszenie Bibliotekarzy Polskich,Rozbudowa i podniesienie jakości dostępu do zasobów naukowych Archiwum Cyfrowego Wydawnictwa SBP,102000,2021-12-31,SON I konkurs II,Popularyzacja
128,SONP/SN/514674/2021,Stowarzyszenie Bibliotekarzy Polskich,Źródła do badań fonografii polskiej – kontynuacja budowy bazy i zwiększenie jej wykorzystania,117650,2021-12-31,SON I konkurs II,Popularyzacja
129,SONP/SN/513058/2021,Stowarzyszenie Muzeów Uczelnianych,"Muzea, kolekcje i zbiory naukowe wyższych uczelni. Skarbnice polskiej historii nauki",998000,2021-12-31,SON I konkurs II,Popularyzacja
130,SONP/SN/513063/2021,Stowarzyszenie Muzeów Uczelnianych,Unikatowe zbiory polskiej nauki,250000,2021-12-31,SON I konkurs II,Popularyzacja
131,SONP/SN/515483/2021,Stowarzyszenie Rzecznicy Nauki,"""Kopernik była kobietą"" sezon 5",978434,2021-12-31,SON I konkurs II,Popularyzacja
132,SONP/SN/513220/2021,Stowarzyszenie Sportowe Klub Sportowy AGH Kraków,Liga Międzywydziałowa AGH,93150,2021-12-31,SON I konkurs II,Popularyzacja
133,SONP/SN/514887/2021,Stowarzyszenie Sportowe Klub Sportowy AGH Kraków,AGH na sportowo,57540,2021-12-31,SON I konkurs II,Popularyzacja
134,SONP/SN/514581/2021,Stowarzyszenie Wspólnota Polska,Język bardziej polski - cykl wykładów o j. polskim,52800,2021-12-31,SON I konkurs II,Popularyzacja
135,SONP/SN/514650/2021,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,HumanTech Meetings.,250000,2021-12-31,SON I konkurs II,Popularyzacja
136,SONP/SP/514283/2021,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,"Otwarty sport akademicki - wydarzenia, zajęcia i promocja",93000,2021-12-31,SON I konkurs II,Popularyzacja
137,SONP/SP/514635/2021,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,Promocja osiągnięć naukowych SGGW,152900,2021-12-31,SON I konkurs II,Popularyzacja
138,SONP/SP/515454/2021,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,"Upowszechnianie wiedzy o drzewach ""O czym szumią drzewa?""""",30000,2021-12-31,SON I konkurs II,Popularyzacja
139,SONP/SP/513208/2021,Szkoła Główna Handlowa w Warszawie,Wpływ badań Human factors na poprawę efektywności zarządzania w opiece zdrowotnej,187764.5,2021-12-31,SON I konkurs II,Popularyzacja
140,SONP/SP/513292/2021,Szkoła Główna Handlowa w Warszawie,Kształtowanie Społecznie Odpowiedzialnych Liderów,60000,2021-12-31,SON I konkurs II,Popularyzacja
141,SONP/SP/514312/2021,Szkoła Główna Handlowa w Warszawie,Jak zostać mocarstwem? Gra strategiczna,107043,2021-12-31,SON I konkurs II,Popularyzacja
142,SONP/SP/513582/2021,Śląski Uniwersytet Medyczny w Katowicach,TRANS-MISJA Wiedzy i Nauki,350000,2021-12-31,SON I konkurs II,Popularyzacja
143,SONP/SP/515376/2021,Śląski Uniwersytet Medyczny w Katowicach,"""Uczę się zdrowia""",50000,2021-12-31,SON I konkurs II,Popularyzacja
144,SONP/SN/515110/2021,Tarnowska Szkoła Wyższa,II Tarnowski Festiwal Nauki,60900,2021-12-31,SON I konkurs II,Popularyzacja
145,SONP/SN/514336/2021,Towarzystwo Wolnej Wszechnicy Polskiej oddział w Lublinie,Lubelski Uniwersytet Trzeciego Wieku -  zajęcia popularyzujące wiedzę o kulturze i religii,27200,2021-12-31,SON I konkurs II,Popularyzacja
146,SONP/SN/515457/2021,Uczelnia Korczaka,"Wychowywać jak Korczak – prawa dziecka w szkole, domu i społeczeństwie",59749,2021-12-31,SON I konkurs II,Popularyzacja
147,SONP/SP/512483/2021,Uniwersytet Ekonomiczny w Katowicach,Ekonomia bez granic,464940,2021-12-31,SON I konkurs II,Popularyzacja
148,SONP/SP/513128/2021,Uniwersytet Ekonomiczny w Krakowie,UEK w formie - zostań sportowcem-naukowcem!,104440,2021-12-31,SON I konkurs II,Popularyzacja
149,SONP/SP/513088/2021,Uniwersytet Ekonomiczny w Poznaniu,Podcast i blog naukowy - Ekonomia Szczęścia,192632,2021-12-31,SON I konkurs II,Popularyzacja
150,SONP/SP/514476/2021,Uniwersytet Ekonomiczny w Poznaniu,Kadry ekonomiczne. Promocja wiedzy ekonomicznej i badań naukowych na UEP,196614,2021-12-31,SON I konkurs II,Popularyzacja
151,SONP/SP/514563/2021,Uniwersytet Ekonomiczny w Poznaniu,Studencie w góry rusz! – 25 lat turystyki kwalifikowanej na Uniwersytecie Ekonomicznym w Poznaniu,39710,2021-12-31,SON I konkurs II,Popularyzacja
152,SONP/SP/514629/2021,Uniwersytet Ekonomiczny w Poznaniu,"""Ekonomiczna Piątka"" - Bieg Uniwersytetu Ekonomicznego w Poznaniu",56298,2021-12-31,SON I konkurs II,Popularyzacja
153,SONP/SP/515100/2021,Uniwersytet Humanistyczno-Przyrodniczy im. Jana Długosza w Częstochowie,Uniwersytecka Częstochowa,98197,2021-12-31,SON I konkurs II,Popularyzacja
154,SONP/SP/514388/2021,Uniwersytet Jagielloński,Spotkania z kulturą żydowską,24608,2021-12-31,SON I konkurs II,Popularyzacja
